Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2024-03-05 10:33:59.9, 20.70028, 3.090086, 200, 99.0083
2024-03-05 10:34:00.5, 20.73505, 3.089243, 200, 99.00903
2024-03-05 10:34:01.1, 20.81286, 3.087359, 200, 99.00854
2024-03-05 10:34:01.7, 20.85867, 3.086251, 200, 99.00879
2024-03-05 10:34:02.3, 20.738, 3.089172, 200, 99.00952
2024-03-05 10:34:02.8, 20.71075, 3.089832, 200, 99.00903
2024-03-05 10:34:03.4, 20.80058, 3.087656, 200, 99.01025
2024-03-05 10:34:03.9, 20.78367, 3.088065, 200, 99.01025
2024-03-05 10:34:04.5, 20.84158, 3.086664, 200, 99.01001
2024-03-05 10:34:05.1, 20.85677, 3.086297, 200, 99.01025
2024-03-05 10:34:05.6, 20.7855, 3.088021, 200, 99.01099
2024-03-05 10:34:06.3, 20.75559, 3.088745, 200, 99.01245
2024-03-05 10:34:06.8, 20.74387, 3.089029, 200, 99.01318
2024-03-05 10:34:07.4, 20.81561, 3.087292, 200, 99.01416
2024-03-05 10:34:08.0, 20.77536, 3.088267, 200, 99.01465
2024-03-05 10:34:08.5, 20.80998, 3.087429, 200, 99.01465
2024-03-05 10:34:09.1, 20.88262, 3.085672, 200, 99.01416
2024-03-05 10:34:09.7, 20.82779, 3.086998, 200, 99.01343
2024-03-05 10:34:10.3, 20.80293, 3.087599, 200, 99.01392
2024-03-05 10:34:10.9, 20.70233, 3.090036, 200, 99.01489
2024-03-05 10:34:11.4, 20.83764, 3.08676, 200, 99.01465
2024-03-05 10:34:12.0, 20.87115, 3.085949, 200, 99.01563
2024-03-05 10:34:12.6, 20.86918, 3.085997, 200, 99.01587
2024-03-05 10:34:13.1, 20.80985, 3.087432, 200, 99.01587
2024-03-05 10:34:13.7, 20.8885, 3.08553, 200, 99.01685
2024-03-05 10:34:14.3, 20.88845, 3.085531, 200, 99.01709
2024-03-05 10:34:14.9, 20.76523, 3.088512, 200, 99.01782
2024-03-05 10:34:15.5, 20.8125, 3.087368, 200, 99.01733
2024-03-05 10:34:16.0, 20.93578, 3.084388, 200, 99.01758
2024-03-05 10:34:16.6, 20.84276, 3.086636, 200, 99.01709
2024-03-05 10:34:17.1, 20.87711, 3.085805, 200, 99.01733
2024-03-05 10:34:17.7, 20.93006, 3.084526, 200, 99.01709
2024-03-05 10:34:18.3, 20.83688, 3.086778, 200, 99.01758
2024-03-05 10:34:18.8, 20.9069, 3.085085, 200, 99.0188
2024-03-05 10:34:19.3, 20.99937, 3.082852, 200, 99.01953
2024-03-05 10:34:19.9, 20.80228, 3.087615, 200, 99.02026
2024-03-05 10:34:20.4, 20.78511, 3.088031, 200, 99.02026
2024-03-05 10:34:21.0, 20.77644, 3.08824, 200, 99.02026
2024-03-05 10:34:21.5, 20.81216, 3.087376, 200, 99.01978
2024-03-05 10:34:22.0, 20.96864, 3.083594, 200, 99.0188
2024-03-05 10:34:22.6, 20.82616, 3.087037, 200, 99.01831
2024-03-05 10:34:23.2, 20.82949, 3.086957, 200, 99.01831
2024-03-05 10:34:23.7, 20.81379, 3.087337, 200, 99.01782
2024-03-05 10:34:24.2, 20.81393, 3.087333, 200, 99.01831
2024-03-05 10:34:24.8, 20.83198, 3.086896, 200, 99.01758
2024-03-05 10:34:25.3, 20.79966, 3.087678, 200, 99.01782
2024-03-05 10:34:25.8, 20.88206, 3.085685, 200, 99.01636
2024-03-05 10:34:26.4, 20.77218, 3.088344, 200, 99.01611
2024-03-05 10:34:27.0, 20.94971, 3.084051, 200, 99.01489
2024-03-05 10:34:27.5, 20.97813, 3.083365, 200, 99.01489
2024-03-05 10:34:28.1, 20.98595, 3.083176, 200, 99.01489
2024-03-05 10:34:28.7, 20.84674, 3.08654, 200, 99.01416
2024-03-05 10:34:29.3, 20.77567, 3.088259, 200, 99.01392
2024-03-05 10:34:29.8, 20.75028, 3.088874, 200, 99.01318
2024-03-05 10:34:30.4, 20.90665, 3.085091, 200, 99.01221
2024-03-05 10:34:31.0, 20.92665, 3.084608, 200, 99.01196
2024-03-05 10:34:31.5, 20.79243, 3.087853, 200, 99.01196
2024-03-05 10:34:32.1, 20.7942, 3.087811, 200, 99.01221
2024-03-05 10:34:32.7, 20.91206, 3.08496, 200, 99.0127
2024-03-05 10:34:33.3, 20.79165, 3.087872, 200, 99.01172
2024-03-05 10:34:33.8, 20.64215, 3.091495, 200, 99.01221
2024-03-05 10:34:34.3, 20.87351, 3.085892, 200, 99.01172
2024-03-05 10:34:34.9, 20.99778, 3.082891, 200, 99.01221
2024-03-05 10:34:35.4, 20.95187, 3.083999, 200, 99.01221
2024-03-05 10:34:36.0, 20.86826, 3.086019, 200, 99.01245
2024-03-05 10:34:36.5, 20.69386, 3.090241, 200, 99.01245
2024-03-05 10:34:37.1, 19.35267, 3.123101, 200, 99.01318
2024-03-05 10:34:37.7, 11.27102, 3.336908, 200, 99.01343
2024-03-05 10:34:38.3, 3.621017, 3.568136, 200, 99.0144
2024-03-05 10:34:38.9, 1.336578, 3.64353, 200, 99.01392
2024-03-05 10:34:39.5, 0.8276215, 3.660763, 200, 99.01318
2024-03-05 10:34:40.0, 0.5716476, 3.669492, 200, 99.01245
2024-03-05 10:34:40.5, 0.499649, 3.671955, 200, 99.01392
2024-03-05 10:34:41.1, 0.3857651, 3.675857, 200, 99.01392
2024-03-05 10:34:41.6, 0.2116089, 3.681841, 200, 99.01416
2024-03-05 10:34:42.1, 0.1737137, 3.683145, 200, 99.01367
2024-03-05 10:34:42.7, 0.1721954, 3.683197, 200, 99.01367
2024-03-05 10:34:43.3, 0.06745148, 3.686808, 200, 99.01392
2024-03-05 10:34:43.8, 0, 3.693359, 200, 99.01343
2024-03-05 10:34:44.4, 0, 3.693567, 200, 99.01343
2024-03-05 10:34:45.0, 0, 3.69196, 200, 99.01294
2024-03-05 10:34:45.6, 0, 3.689778, 200, 99.01367
2024-03-05 10:34:46.2, 0, 3.691125, 200, 99.01245
2024-03-05 10:34:46.8, 0, 3.693134, 200, 99.0127
2024-03-05 10:34:47.4, 0, 3.690336, 200, 99.01245
2024-03-05 10:34:48.0, 0, 3.690602, 200, 99.0105
2024-03-05 10:34:48.6, 0, 3.69044, 200, 99.01099
2024-03-05 10:34:49.2, 0, 3.696425, 200, 99.01147
2024-03-05 10:34:49.8, 0, 3.697507, 200, 99.0127
2024-03-05 10:34:50.4, 0, 3.694764, 200, 99.01172
2024-03-05 10:34:50.9, 0, 3.694911, 200, 99.01147
2024-03-05 10:34:51.5, 0, 3.697203, 200, 99.01172
2024-03-05 10:34:52.1, 0, 3.697441, 200, 99.01147
2024-03-05 10:34:52.7, 0, 3.695658, 200, 99.01099
2024-03-05 10:34:53.3, 0, 3.699332, 200, 99.01123
2024-03-05 10:34:53.9, 0, 3.698579, 200, 99.01123
2024-03-05 10:34:54.4, 0, 3.696513, 200, 99.01221
2024-03-05 10:34:54.9, 0, 3.69395, 200, 99.01123
2024-03-05 10:34:55.5, 0, 3.699144, 200, 99.01221
2024-03-05 10:34:56.0, 0, 3.698169, 200, 99.01221
2024-03-05 10:34:56.5, 0, 3.694283, 200, 99.01221
2024-03-05 10:34:57.2, 0, 3.69557, 200, 99.01172
2024-03-05 10:34:57.7, 0, 3.697788, 200, 99.01147
2024-03-05 10:34:58.3, 0, 3.697525, 200, 99.01196
2024-03-05 10:34:58.8, 0, 3.69805, 200, 99.01099
2024-03-05 10:34:59.4, 0, 3.697861, 200, 99.0105
2024-03-05 10:34:59.9, 0, 3.699283, 200, 99.01001
2024-03-05 10:35:00.6, 0, 3.697764, 200, 99.01074
2024-03-05 10:35:01.1, 0, 3.695914, 200, 99.0105
2024-03-05 10:35:01.6, 0, 3.693546, 200, 99.01099
2024-03-05 10:35:02.2, 0, 3.694383, 200, 99.01147
2024-03-05 10:35:02.7, 0, 3.693499, 200, 99.01172
2024-03-05 10:35:03.3, 0, 3.69265, 200, 99.0127
2024-03-05 10:35:03.8, 0, 3.694821, 200, 99.01343
2024-03-05 10:35:04.4, 0, 3.694351, 200, 99.0127
2024-03-05 10:35:05.0, 0, 3.693952, 200, 99.01294
2024-03-05 10:35:05.6, 0, 3.695455, 200, 99.01221
2024-03-05 10:35:06.1, 0, 3.695289, 200, 99.01245
2024-03-05 10:35:06.7, 0, 3.697695, 200, 99.01318
2024-03-05 10:35:07.4, 0, 3.697915, 200, 99.01367
2024-03-05 10:35:07.9, 0, 3.695936, 200, 99.01392
2024-03-05 10:35:08.5, 0, 3.693818, 200, 99.01294
2024-03-05 10:35:09.1, 0, 3.692375, 200, 99.01343
2024-03-05 10:35:09.7, 0, 3.691543, 200, 99.01416
2024-03-05 10:35:10.3, 0, 3.694682, 200, 99.0144
2024-03-05 10:35:10.8, 0, 3.694134, 200, 99.01514
2024-03-05 10:35:11.3, 0, 3.69491, 200, 99.01489
2024-03-05 10:35:11.9, 0, 3.693484, 200, 99.01514
2024-03-05 10:35:12.5, 0, 3.69631, 200, 99.01514
2024-03-05 10:35:13.0, 0, 3.700835, 200, 99.01465
2024-03-05 10:35:13.6, 0, 3.698214, 200, 99.01367
2024-03-05 10:35:14.2, 0, 3.697622, 200, 99.01343
2024-03-05 10:35:14.8, 0, 3.69324, 200, 99.01367
2024-03-05 10:35:15.3, 0, 3.695768, 200, 99.01392
2024-03-05 10:35:15.9, 0, 3.697806, 200, 99.01514
2024-03-05 10:35:16.5, 0, 3.695542, 200, 99.01538
2024-03-05 10:35:17.1, 0, 3.694911, 200, 99.01538
2024-03-05 10:35:17.6, 0, 3.695587, 200, 99.01587
2024-03-05 10:35:18.2, 0, 3.696452, 200, 99.0166
2024-03-05 10:35:18.8, 0, 3.695464, 200, 99.01685
2024-03-05 10:35:19.4, 0, 3.694549, 200, 99.01636
2024-03-05 10:35:20.0, 0, 3.701919, 200, 99.01514
2024-03-05 10:35:20.5, 0, 3.700428, 200, 99.01489
2024-03-05 10:35:21.0, 0, 3.693508, 200, 99.01367
2024-03-05 10:35:21.6, 0, 3.691215, 200, 99.01245
2024-03-05 10:35:22.2, 0, 3.695482, 200, 99.01245
2024-03-05 10:35:22.8, 0, 3.69739, 200, 99.01221
2024-03-05 10:35:23.4, 0, 3.699368, 200, 99.01245
2024-03-05 10:35:23.9, 0, 3.699317, 200, 99.01294
2024-03-05 10:35:24.5, 0, 3.696931, 200, 99.01245
2024-03-05 10:35:25.1, 0, 3.695344, 200, 99.0127
2024-03-05 10:35:25.7, 0, 3.693815, 200, 99.01196
2024-03-05 10:35:26.2, 0, 3.693354, 200, 99.01221
2024-03-05 10:35:26.8, 0, 3.695461, 200, 99.01221
2024-03-05 10:35:27.4, 0, 3.693992, 200, 99.01221
2024-03-05 10:35:28.0, 0, 3.692281, 200, 99.01172
2024-03-05 10:35:28.5, 0, 3.694671, 200, 99.01196
2024-03-05 10:35:29.1, 0, 3.694555, 200, 99.01221
2024-03-05 10:35:29.7, 0, 3.695176, 200, 99.01245
2024-03-05 10:35:30.3, 0, 3.699942, 200, 99.01392
2024-03-05 10:35:30.9, 0, 3.696818, 200, 99.01514
2024-03-05 10:35:31.4, 0, 3.692892, 200, 99.01611
2024-03-05 10:35:32.0, 0, 3.695015, 200, 99.0166
2024-03-05 10:35:32.5, 0, 3.695254, 200, 99.01733
2024-03-05 10:35:33.1, 0, 3.696649, 200, 99.01709
2024-03-05 10:35:33.6, 0, 3.697114, 200, 99.01709
2024-03-05 10:35:34.1, 0, 3.697734, 200, 99.0166
2024-03-05 10:35:34.7, 0, 3.698296, 200, 99.01831
2024-03-05 10:35:35.3, 0, 3.696702, 200, 99.01904
2024-03-05 10:35:35.9, 0, 3.701868, 200, 99.01855
2024-03-05 10:35:36.4, 0, 3.699169, 200, 99.01831
2024-03-05 10:35:36.9, 0, 3.694629, 200, 99.01855
2024-03-05 10:35:37.5, 0, 3.695877, 200, 99.01978
2024-03-05 10:35:38.0, 0, 3.697991, 200, 99.01978
2024-03-05 10:35:38.6, 0, 3.696337, 200, 99.02075
2024-03-05 10:35:39.2, 0, 3.696376, 200, 99.02148
2024-03-05 10:35:39.8, 0, 3.697325, 200, 99.021
2024-03-05 10:35:40.4, 0, 3.695894, 200, 99.02051
2024-03-05 10:35:41.0, 0, 3.693283, 200, 99.02148
2024-03-05 10:35:41.6, 0, 3.692567, 200, 99.02124
2024-03-05 10:35:42.1, 0, 3.697129, 200, 99.02173
2024-03-05 10:35:42.7, 0, 3.694377, 200, 99.02197
2024-03-05 10:35:43.3, 0, 3.69552, 200, 99.02222
2024-03-05 10:35:43.8, 0, 3.697955, 200, 99.02368
2024-03-05 10:35:44.4, 0, 3.696689, 200, 99.02393
2024-03-05 10:35:45.0, 0, 3.695354, 200, 99.02393
2024-03-05 10:35:45.6, 0, 3.698605, 200, 99.02393
2024-03-05 10:35:46.2, 0, 3.695445, 200, 99.02393
2024-03-05 10:35:46.8, 0, 3.696299, 200, 99.02368
2024-03-05 10:35:47.4, 0, 3.697287, 200, 99.02319
2024-03-05 10:35:48.0, 0, 3.697353, 200, 99.02319
2024-03-05 10:35:48.6, 0, 3.696882, 200, 99.02246
2024-03-05 10:35:49.1, 0, 3.695229, 200, 99.02222
2024-03-05 10:35:49.6, 0, 3.693953, 200, 99.02295
2024-03-05 10:35:50.2, 0, 3.695771, 200, 99.02246
2024-03-05 10:35:50.8, 0, 3.701274, 200, 99.02246
2024-03-05 10:35:51.4, 0, 3.697798, 200, 99.02295
2024-03-05 10:35:51.9, 0, 3.696867, 200, 99.02246
2024-03-05 10:35:52.5, 0, 3.698931, 200, 99.02197
2024-03-05 10:35:53.1, 0, 3.694883, 200, 99.02222
2024-03-05 10:35:53.7, 0, 3.693615, 200, 99.02173
2024-03-05 10:35:54.3, 0, 3.693577, 200, 99.021
2024-03-05 10:35:54.9, 0, 3.6973, 200, 99.021
2024-03-05 10:35:55.5, 0, 3.696377, 200, 99.021
2024-03-05 10:35:56.1, 0, 3.696092, 200, 99.02197
2024-03-05 10:35:56.7, 0, 3.696192, 200, 99.02173
2024-03-05 10:35:57.3, 0, 3.693639, 200, 99.02246
2024-03-05 10:35:57.9, 0, 3.697031, 200, 99.02319
2024-03-05 10:35:58.5, 0, 3.699991, 200, 99.02393
2024-03-05 10:35:59.1, 0, 3.697333, 200, 99.02393
2024-03-05 10:35:59.6, 0, 3.695862, 200, 99.02344
2024-03-05 10:36:00.1, 0, 3.694087, 200, 99.02393
2024-03-05 10:36:00.8, 0, 3.694003, 200, 99.02319
2024-03-05 10:36:01.3, 0, 3.695308, 200, 99.02319
2024-03-05 10:36:01.9, 0, 3.699128, 200, 99.02344
2024-03-05 10:36:02.5, 0, 3.697495, 200, 99.02393
2024-03-05 10:36:03.0, 0, 3.699725, 200, 99.02295
2024-03-05 10:36:03.6, 0, 3.700845, 200, 99.02246
2024-03-05 10:36:04.2, 0, 3.697783, 200, 99.02271
2024-03-05 10:36:04.7, 0, 3.697072, 200, 99.02344
2024-03-05 10:36:05.2, 0, 3.699714, 200, 99.02271
2024-03-05 10:36:05.7, 0, 3.698609, 200, 99.02222
2024-03-05 10:36:06.3, 0, 3.697369, 200, 99.02222
2024-03-05 10:36:06.8, 0, 3.696989, 200, 99.02222
2024-03-05 10:36:07.3, 0, 3.696174, 200, 99.02222
2024-03-05 10:36:07.9, 0, 3.695766, 200, 99.02271
2024-03-05 10:36:08.5, 0, 3.698097, 200, 99.02197
2024-03-05 10:36:09.1, 0, 3.700026, 200, 99.02124
2024-03-05 10:36:09.6, 0, 3.698699, 200, 99.02124
2024-03-05 10:36:10.2, 0, 3.698449, 200, 99.02051
2024-03-05 10:36:10.7, 0, 3.701373, 200, 99.02075
2024-03-05 10:36:11.3, 0, 3.70241, 200, 99.02002
2024-03-05 10:36:11.9, 0, 3.698922, 200, 99.01978
2024-03-05 10:36:12.6, 0, 3.695092, 200, 99.01904
2024-03-05 10:36:13.1, 0, 3.694868, 200, 99.01953
2024-03-05 10:36:13.8, 0, 3.698752, 200, 99.01953
2024-03-05 10:36:14.3, 0, 3.698077, 200, 99.01978
2024-03-05 10:36:14.9, 0, 3.695731, 200, 99.01929
2024-03-05 10:36:15.4, 0, 3.699558, 200, 99.01953
2024-03-05 10:36:16.0, 0, 3.697399, 200, 99.02002
2024-03-05 10:36:16.5, 0, 3.696942, 200, 99.0188
2024-03-05 10:36:17.1, 0, 3.699343, 200, 99.01855
2024-03-05 10:36:17.6, 0, 3.698404, 200, 99.01782
2024-03-05 10:36:18.2, 0, 3.701017, 200, 99.01685
2024-03-05 10:36:18.7, 0, 3.700336, 200, 99.01758
2024-03-05 10:36:19.3, 0, 3.698348, 200, 99.01758
2024-03-05 10:36:19.9, 0, 3.697026, 200, 99.01904
2024-03-05 10:36:20.5, 0, 3.694014, 200, 99.01953
2024-03-05 10:36:21.1, 0, 3.69492, 200, 99.01929
2024-03-05 10:36:21.6, 0, 3.699669, 200, 99.01904
2024-03-05 10:36:22.2, 0, 3.699874, 200, 99.01953
2024-03-05 10:36:22.7, 0, 3.699886, 200, 99.01929
2024-03-05 10:36:23.3, 0, 3.696538, 200, 99.01953
2024-03-05 10:36:23.9, 0, 3.694453, 200, 99.0188
2024-03-05 10:36:24.5, 0, 3.696615, 200, 99.01758
2024-03-05 10:36:25.1, 0, 3.699447, 200, 99.01709
2024-03-05 10:36:25.6, 0, 3.69585, 200, 99.01611
2024-03-05 10:36:26.2, 0, 3.6981, 200, 99.01538
2024-03-05 10:36:26.8, 0, 3.695342, 200, 99.01514
2024-03-05 10:36:27.4, 0, 3.695089, 200, 99.01587
2024-03-05 10:36:27.9, 0, 3.694199, 200, 99.01514
2024-03-05 10:36:28.5, 0, 3.692834, 200, 99.01416
2024-03-05 10:36:29.0, 0, 3.694476, 200, 99.01367
2024-03-05 10:36:29.5, 0, 3.698042, 200, 99.01367
2024-03-05 10:36:30.1, 0, 3.698176, 200, 99.0127
2024-03-05 10:36:30.6, 0, 3.698992, 200, 99.01221
2024-03-05 10:36:31.2, 0, 3.700806, 200, 99.01245
2024-03-05 10:36:31.7, 0, 3.697864, 200, 99.01221
2024-03-05 10:36:32.2, 0, 3.69505, 200, 99.01343
2024-03-05 10:36:32.8, 0, 3.699362, 200, 99.01367
2024-03-05 10:36:33.4, 0, 3.700857, 200, 99.01367
2024-03-05 10:36:34.0, 0, 3.702259, 200, 99.01392
2024-03-05 10:36:34.6, 0, 3.698273, 200, 99.01514
2024-03-05 10:36:35.1, 0, 3.692907, 200, 99.01587
2024-03-05 10:36:35.7, 0, 3.693714, 200, 99.01587
2024-03-05 10:36:36.3, 0, 3.697304, 200, 99.01709
2024-03-05 10:36:36.9, 0, 3.701816, 200, 99.01807
2024-03-05 10:36:37.4, 0, 3.698414, 200, 99.01733
2024-03-05 10:36:38.0, 0, 3.698912, 200, 99.01733
2024-03-05 10:36:38.6, 0, 3.695172, 200, 99.0188
2024-03-05 10:36:39.1, 0, 3.694766, 200, 99.01807
2024-03-05 10:36:39.6, 0, 3.6944, 200, 99.01831
2024-03-05 10:36:40.2, 0, 3.694266, 200, 99.01904
2024-03-05 10:36:40.7, 0, 3.697033, 200, 99.0188
2024-03-05 10:36:41.3, 0, 3.696136, 200, 99.01831
2024-03-05 10:36:41.9, 0, 3.700119, 200, 99.01782
2024-03-05 10:36:42.5, 0, 3.700333, 200, 99.01831
2024-03-05 10:36:43.1, 0, 3.697567, 200, 99.01831
2024-03-05 10:36:43.6, 0, 3.698883, 200, 99.01855
2024-03-05 10:36:44.2, 0, 3.699089, 200, 99.01807
2024-03-05 10:36:44.8, 0, 3.700243, 200, 99.01782
2024-03-05 10:36:45.3, 0, 3.697127, 200, 99.01758
2024-03-05 10:36:45.9, 0, 3.695327, 200, 99.01733
2024-03-05 10:36:46.5, 0, 3.698954, 200, 99.01733
2024-03-05 10:36:47.0, 0, 3.700142, 200, 99.0166
2024-03-05 10:36:47.6, 0, 3.699515, 200, 99.01709
2024-03-05 10:36:48.1, 0, 3.695911, 200, 99.01685
2024-03-05 10:36:48.7, 0, 3.698008, 200, 99.01709
2024-03-05 10:36:49.3, 0, 3.699589, 200, 99.01709
2024-03-05 10:36:49.9, 0, 3.699093, 200, 99.01758
2024-03-05 10:36:50.5, 0, 3.700732, 200, 99.01807
2024-03-05 10:36:51.1, 0, 3.697687, 200, 99.01782
2024-03-05 10:36:51.7, 0, 3.698992, 200, 99.01855
2024-03-05 10:36:52.3, 0, 3.697989, 200, 99.0188
2024-03-05 10:36:52.8, 0, 3.697611, 200, 99.01831
2024-03-05 10:36:53.4, 0, 3.692713, 200, 99.01758
2024-03-05 10:36:54.0, 0, 3.695845, 200, 99.01758
2024-03-05 10:36:54.6, 0, 3.699422, 200, 99.01855
2024-03-05 10:36:55.2, 0, 3.696564, 200, 99.01831
2024-03-05 10:36:55.8, 0, 3.69803, 200, 99.01807
2024-03-05 10:36:56.3, 0, 3.694869, 200, 99.01831
2024-03-05 10:36:56.8, 0, 3.695014, 200, 99.01709
2024-03-05 10:36:57.4, 0, 3.698448, 200, 99.01758
2024-03-05 10:36:58.0, 0, 3.698045, 200, 99.01782
2024-03-05 10:36:58.6, 0, 3.695005, 200, 99.01733
2024-03-05 10:36:59.2, 0, 3.696906, 200, 99.01611
2024-03-05 10:36:59.8, 0, 3.699647, 200, 99.01587
2024-03-05 10:37:00.4, 0, 3.700858, 200, 99.01514
2024-03-05 10:37:00.9, 0, 3.697768, 200, 99.01489
2024-03-05 10:37:01.5, 0, 3.695033, 200, 99.01489
2024-03-05 10:37:02.0, 0, 3.697315, 200, 99.01489
2024-03-05 10:37:02.6, 0, 3.699778, 200, 99.01392
2024-03-05 10:37:03.2, 0, 3.695054, 200, 99.01465
2024-03-05 10:37:03.7, 0, 3.69627, 200, 99.01514
2024-03-05 10:37:04.4, 0, 3.699004, 200, 99.01563
2024-03-05 10:37:04.9, 0, 3.696422, 200, 99.01514
2024-03-05 10:37:05.4, 0, 3.695523, 200, 99.01611
2024-03-05 10:37:06.1, 0, 3.697652, 200, 99.01709
2024-03-05 10:37:06.6, 0, 3.699054, 200, 99.01733
2024-03-05 10:37:07.1, 0, 3.699309, 200, 99.01733
2024-03-05 10:37:07.7, 0, 3.698065, 200, 99.01587
2024-03-05 10:37:08.3, 0, 3.69835, 200, 99.0166
2024-03-05 10:37:08.8, 0, 3.696223, 200, 99.01758
2024-03-05 10:37:09.3, 0, 3.695895, 200, 99.01733
2024-03-05 10:37:09.9, 0, 3.698256, 200, 99.01807
2024-03-05 10:37:10.5, 0, 3.696918, 200, 99.0188
2024-03-05 10:37:11.1, 0, 3.699944, 200, 99.01904
2024-03-05 10:37:11.7, 0, 3.69669, 200, 99.01978
2024-03-05 10:37:12.2, 0, 3.692631, 200, 99.02026
2024-03-05 10:37:12.8, 0, 3.695152, 200, 99.021
